7.959731033540923146e-14 2.340775420909484669e-13 8.925698416114853914e-13 2.022792950654412747e-12
8.151264799983960338e-14 2.396963182573214265e-13 9.138432754826677068e-13 2.070798459569139088e-12
8.347746497627444355e-14 2.454595669487090007e-13 9.356552972979278797e-13 2.119998509541452227e-12
8.549317223652607782e-14 2.513713817047174071e-13 9.580208340950754651e-13 2.170425313691236404e-12
8.756122578489080970e-14 2.574359857433475905e-13 9.809552737419869205e-13 2.222112046373228706e-12
8.968312828230401761e-14 2.636577365704353050e-13 1.004474480865641140e-12 2.275092875179945505e-12
9.186043073977939100e-14 2.700411307816623684e-13 1.028594813400648139e-12 2.329402994140519784e-12
9.409473428512274211e-14 2.765908090695344263e-13 1.053333139790739088e-12 2.385078658173589534e-12
9.638769201128457853e-14 2.833115614522484507e-13 1.078706856877838322e-12 2.442157218853862438e-12
9.874101091153945273e-14 2.902083327380139905e-13 1.104733908510970081e-12 2.500677161550451770e-12
1.011564539004230875e-13 2.972862282320543390e-13 1.131432804905839745e-12 2.560678143994899067e-12
1.036358419198965692e-13 3.045505196941986957e-13 1.158822642791406738e-12 2.622201036342246902e-12
1.061810561361393377e-13 3.120066515604654568e-13 1.186923126383984784e-12 2.685287962795314986e-12
1.087940402328298486e-13 3.196602474410430296e-13 1.215754589226026820e-12 2.749982344858627505e-12
1.114768028000967238e-13 3.275171168990835207e-13 1.245338016923791488e-12 2.816328946286544878e-12
1.142314198150144712e-13 3.355832625107816056e-13 1.275695070818525961e-12 2.884373919791233586e-12
1.170600372148416052e-13 3.438648872122120359e-13 1.306848112632845642e-12 2.954164855584048301e-12
1.199648735688193519e-13 3.523684019419324809e-13 1.338820230132252887e-12 3.025750831823787061e-12
1.229482228501035985e-13 3.611004335827998726e-13 1.371635263836624200e-12 3.099182467040959773e-12
1.260124573036421963e-13 3.700678332000098007e-13 1.405317834814657376e-12 3.174511974605450095e-12
1.291600304098481108e-13 3.792776845768853855e-13 1.439893373602072809e-12 3.251793219315828961e-12
