2.101481134234078308e-11 2.345166465621937727e-12 1.536621966164667892e-12 4.770679839706169788e-13 1.078800459072742550e-13
2.206720664976507033e-11 2.455335041460062034e-12 1.599015871686248861e-12 4.981020174759773921e-13 1.125756826834004948e-13
2.321057651819169191e-11 2.574881927019610267e-12 1.666365766113360867e-12 5.209181234802873540e-13 1.176703138501962471e-13
2.445613281397767448e-11 2.704957252086650584e-12 1.739263937797264654e-12 5.457347574390874354e-13 1.232129683677797352e-13
2.581688990082910862e-11 2.846895746876255700e-12 1.818396898795834887e-12 5.728054352648585772e-13 1.292605516081417874e-13
2.730802468404060757e-11 3.002253595743026568e-12 1.904564140648539490e-12 6.024257326780740620e-13 1.358794182991558855e-13
2.894732334238558133e-11 3.172854162616404402e-12 1.998701400945587353e-12 6.349419694891142956e-13 1.431473241591663853e-13
3.075573938884054677e-11 3.360845109835309720e-12 2.101909722448525979e-12 6.707620577302715504e-13 1.511558638635810054e-13
3.275809584584897137e-11 3.568770265518927820e-12 2.215492010126842889e-12 7.103691508490692387e-13 1.600135385628206999e-13
3.498397555930229949e-11 3.799660744687641347e-12 2.340999375997605127e-12 7.543389495979203426e-13 1.698496452642607901e-13
3.746885934631957939e-11 4.057151433011771266e-12 2.480290376706172237e-12 8.033618248245430622e-13 1.808192488463404309e-13
4.025559376826932050e-11 4.345631203269075759e-12 2.635607398021103295e-12 8.582713468175063099e-13 1.931095939969941819e-13
4.339630184948576128e-11 4.670438461070626207e-12 2.809676080236550833e-12 9.200814236372579758e-13 2.069484520973049377e-13
4.695489562558360307e-11 5.038118279086477968e-12 3.005836048215820477e-12 9.900351364021696778e-13 2.226150971068950274e-13
5.101041615178551747e-11 5.456764209409172466e-12 3.228214681262738208e-12 1.069669656736589832e-12 2.404548960774454183e-13
5.566152581582421090e-11 5.936478016624084062e-12 3.481960818072799699e-12 1.160903559842387708e-12 2.608989333194521271e-13
6.103262760352183742e-11 6.489995904071377390e-12 3.773563083187989148e-12 1.266155758127896590e-12 2.844907416364094525e-13
6.728231599874045448e-11 7.133553345913575855e-12 4.111289485237995502e-12 1.388509751092242890e-12 3.119232188997285139e-13
7.461522390665125170e-11 7.888097447697471704e-12 4.505803645307931200e-12 1.531943878167929735e-12 3.440903795520818076e-13
8.329890360019122056e-11 8.781014457660216029e-12 4.971042846744359503e-12 1.701659409501758162e-12 3.821610963395692675e-13
9.368831395668955757e-11 9.848635657758347736e-12 5.525491688044518983e-12 1.904556467376178913e-12 4.276860687451956182e-13
1.062620430555776837e-10 1.113994417642403411e-11 6.194066088308178323e-12 2.149938027856286256e-12 4.827560552043179930e-13
1.216770538695382684e-10 1.272217733487929098e-11 7.010960669039266866e-12 2.450573924010867654e-12 5.502410200500732342e-13
