4.154814650734023665e-14 1.589217288706894951e-13 8.781413111812299305e-13 1.415332971794198255e-11 1.076064009730690969e-11 7.837010701778232881e-13
4.209417717852911136e-14 1.610474296921040810e-13 8.902068066648615457e-13 1.434955864122245505e-11 1.089433461900095776e-11 7.877323912077019739e-13
4.265224972936338023e-14 1.632202811235434472e-13 9.025424950262217827e-13 1.455018361355928209e-11 1.103087841579053320e-11 7.918214583954910150e-13
4.322273692123794098e-14 1.654417461176919897e-13 9.151567938345984806e-13 1.475534141535867442e-11 1.117035791095606545e-11 7.959698630512024958e-13
4.380602639326402466e-14 1.677133460890651631e-13 9.280584577684391564e-13 1.496517429720669568e-11 1.131286293234661430e-11 8.001792585748584655e-13
4.440252139137177320e-14 1.700366637813436305e-13 9.412565951718932036e-13 1.517983024819663650e-11 1.145848687770895167e-11 8.044513634947602650e-13
4.501264153989686414e-14 1.724133463018809987e-13 9.547606855775820279e-13 1.539946327989961793e-11 1.160732688958494044e-11 8.087879646833012873e-13
4.563682365852697821e-14 1.748451083347135856e-13 9.685805982610997871e-13 1.562423372703779224e-11 1.175948404042140300e-11 8.131909207623844385e-13
4.627552262770757586e-14 1.773337355442675290e-13 9.827266118978042921e-13 1.585430856600165678e-11 1.191506352858657147e-11 8.176621657114406866e-13
4.692921230584654633e-14 1.798810881829189643e-13 9.972094353979800044e-13 1.608986175244178755e-11 1.207417488604111677e-11 8.222037126920661409e-13
4.759838650192209804e-14 1.824891049165917965e-13 1.012040230002432235e-12 1.633107457926237205e-11 1.223693219847015298e-11 8.268176581043976351e-13
4.828356000738303125e-14 1.851598068837099435e-13 1.027230632727115986e-12 1.657813605644949575e-11 1.240345433874680161e-11 8.315061858915516191e-13
4.898526969154335210e-14 1.878953020040480931e-13 1.042792781252507424e-12 1.683124331428175671e-11 1.257386521466707556e-11 8.362715721097704869e-13
4.970407566501309790e-14 1.906977895553632504e-13 1.058739340361173726e-12 1.709060203159634882e-11 1.274829403197185736e-11 8.411161897833466315e-13
